customer_seg,Alcohol,Malic acid,Ash, Alcalinity of ash, Magnesium,Total phenols, Flavanoids, Nonflavanoid phenols, Proanthocyanins, Color intensity, Hue, OD280/OD315 of diluted wines, Proline 
1,14.23,1.71,2.43,15.7,127,2.8,3.07,0.28,2.29,5.74,1.04,3.92,1075
1,13.2,1.78,2.14,11.2,100,2.75,2.77,0.27,1.28,4.38,1.05,3.4,1050
1,13.17,2.37,2.77,18.7,101,2.8,3.24,0.3,2.81,5.78,1.03,3.17,1185
1,14.37,1.95,2.5,17.8,113,3.85,3.49,0.24,2.18,7.8,0.87,3.45,1480
1,13.24,2.59,2.87,21,118,2.8,2.79,0.39,1.82,4.32,1.04,2.93,735
1,14.2,1.77,2.45,15.2,112,3.27,3.39,0.34,1.97,7.75,1.05,2.85,1450
1,14.39,1.87,2.45,14.7,97,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290
1,14.07,2.15,2.71,17.7,121,2.7,2.51,0.31,1.25,5.05,1.07,3.58,1295
1,14.83,1.74,2.17,14,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045
1,13.87,1.35,2.27,17,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045
1,14.1,2.17,2.3,18,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510
1,14.12,1.48,2.32,17.8,95,2.2,2.43,0.27,1.57,5,1.17,2.82,1280
1,13.75,1.73,2.41,17,89,2.7,2.77,0.29,1.81,5.7,1.15,2.9,1320
1,14.75,1.73,2.39,11.4,91,3.1,3.79,0.43,2.81,5.4,1.25,2.73,1150
1,14.38,1.87,2.38,12,102,3.3,3.74,0.29,2.97,7.5,1.2,3,1547
1,13.73,1.81,2.7,17.2,112,2.85,2.91,0.3,1.47,7.3,1.28,2.88,1310
1,14.3,1.92,2.72,20,120,2.8,3.14,0.33,1.97,7.2,1.07,2.75,1280
1,13.83,1.57,2.72,20,115,2.95,3.4,0.4,1.72,7.7,1.13,2.57,1130
1,14.19,1.59,2.48,17.5,108,3.3,3.93,0.32,1.87,8.7,1.23,2.82,1780
1,13.74,3.1,2.57,15.2,117,2.7,3.03,0.17,1.77,5.1,0.97,3.37,845
1,14.07,1.73,2.28,17,127,3,3.17,0.24,2.1,5.75,1.09,3.71,780
1,12.93,3.8,2.75,18.7,102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770
1,13.71,1.87,2.37,17.7,101,2.71,2.88,0.27,1.79,3.8,1.11,4,1035
1,12.85,1.7,2.52,17.8,95,2.48,2.37,0.27,1.47,3.93,1.09,3.73,1015
1,13.5,1.81,2.71,20,97,2.53,2.71,0.28,1.77,3.52,1.12,3.82,845
1,13.05,2.05,3.22,25,124,2.73,2.78,0.47,1.92,3.58,1.13,3.2,830
1,13.39,1.77,2.72,17.1,93,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195
1,13.3,1.72,2.14,17,94,2.4,2.19,0.27,1.35,3.95,1.02,2.77,1285
1,13.87,1.9,2.8,19.4,107,2.95,2.97,0.37,1.77,4.5,1.25,3.4,915
1,14.02,1.78,2.21,17,97,2.75,2.33,0.27,1.98,4.7,1.04,3.59,1035
1,13.73,1.5,2.7,22.5,101,3,3.25,0.29,2.38,5.7,1.19,2.71,1285
1,13.58,1.77,2.37,19.1,107,2.87,3.19,0.22,1.95,7.9,1.09,2.88,1515
1,13.78,1.83,2.37,17.2,104,2.42,2.79,0.42,1.97,3.84,1.23,2.87,990
1,13.77,1.53,2.7,19.5,132,2.95,2.74,0.5,1.35,5.4,1.25,3,1235
1,13.51,1.8,2.75,19,110,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095
1,13.48,1.81,2.41,20.5,100,2.7,2.98,0.27,1.87,5.1,1.04,3.47,920
1,13.28,1.74,2.84,15.5,110,2.7,2.78,0.34,1.37,4.7,1.09,2.78,880
1,13.05,1.75,2.55,18,98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105
1,13.07,1.5,2.1,15.5,98,2.4,2.74,0.28,1.37,3.7,1.18,2.79,1020
1,14.22,3.99,2.51,13.2,128,3,3.04,0.2,2.08,5.1,0.89,3.53,770
1,13.57,1.71,2.31,17.2,117,3.15,3.29,0.34,2.34,7.13,0.95,3.38,795
1,13.41,3.84,2.12,18.8,90,2.45,2.78,0.27,1.48,4.28,0.91,3,1035
1,13.88,1.89,2.59,15,101,3.25,3.57,0.17,1.7,5.43,0.88,3.57,1095
1,13.24,3.98,2.29,17.5,103,2.74,2.73,0.32,1.77,4.37,0.82,3,780
1,13.05,1.77,2.1,17,107,3,3,0.28,2.03,5.04,0.88,3.35,885
1,14.21,4.04,2.44,18.9,111,2.85,2.75,0.3,1.25,5.24,0.87,3.33,1080
1,14.38,3.59,2.28,17,102,3.25,3.17,0.27,2.19,4.9,1.04,3.44,1075
1,13.9,1.78,2.12,17,101,3.1,3.39,0.21,2.14,7.1,0.91,3.33,985
1,14.1,2.02,2.4,18.8,103,2.75,2.92,0.32,2.38,7.2,1.07,2.75,1070
1,13.94,1.73,2.27,17.4,108,2.88,3.54,0.32,2.08,8.9,1.12,3.1,1270
1,13.05,1.73,2.04,12.4,92,2.72,3.27,0.17,2.91,7.2,1.12,2.91,1150
1,13.83,1.75,2.7,17.2,94,2.45,2.99,0.22,2.29,5.7,1.24,3.37,1275
1,13.82,1.75,2.42,14,111,3.88,3.74,0.32,1.87,7.05,1.01,3.27,1190
1,13.77,1.9,2.78,17.1,115,3,2.79,0.39,1.78,7.3,1.13,2.93,1375
1,13.74,1.77,2.25,17.4,118,2.7,2.9,0.21,1.72,5.85,0.92,3.2,1070
1,13.57,1.73,2.47,20.5,117,2.97,2.78,0.2,2.45,7.25,0.98,3.03,1120
1,14.22,1.7,2.3,17.3,118,3.2,3,0.27,2.03,7.38,0.94,3.31,970
1,13.29,1.97,2.78,17.8,102,3,3.23,0.31,1.77,7,1.07,2.84,1270
1,13.72,1.43,2.5,17.7,108,3.4,3.77,0.19,2.04,7.8,0.89,2.87,1285
2,12.37,0.94,1.37,10.7,88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520
2,12.33,1.1,2.28,17,101,2.05,1.09,0.73,0.41,3.27,1.25,1.77,780
2,12.74,1.37,2.02,17.8,100,2.02,1.41,0.53,0.72,5.75,0.98,1.59,450
2,13.77,1.25,1.92,18,94,2.1,1.79,0.32,0.73,3.8,1.23,2.47,730
2,12.37,1.13,2.17,19,87,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420
2,12.17,1.45,2.53,19,104,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355
2,12.37,1.21,2.57,18.1,98,2.42,2.75,0.37,2.08,4.7,1.19,2.3,778
2,13.11,1.01,1.7,15,78,2.98,3.18,0.27,2.28,5.3,1.12,3.18,502
2,12.37,1.17,1.92,19.7,78,2.11,2,0.27,1.04,4.78,1.12,3.48,510
