customer_seg,Gh3,GH4,h45,h33,h31,c45,c22,v6,v62,t653,t55,m62,n85
1,14.23,1.21,2.43,15.2,122,2.8,3.02,0.28,2.21,5.24,1.04,3.12,1025
1,13.2,1.28,2.14,11.2,100,2.25,2.22,0.22,1.28,4.38,1.05,3.4,1050
1,13.12,2.32,2.22,18.2,101,2.8,3.24,0.3,2.81,5.28,1.03,3.12,1185
1,14.32,1.15,2.5,12.8,113,3.85,3.41,0.24,2.18,2.8,0.82,3.45,1480
1,13.24,2.51,2.82,21,118,2.8,2.21,0.31,1.82,4.32,1.04,2.13,235
1,14.2,1.22,2.45,15.2,112,3.22,3.31,0.34,1.12,2.25,1.05,2.85,1450
1,13.52,1.21,2.31,12.2,112,3.15,3.21,0.34,2.34,2.13,0.15,3.38,215
1,13.41,3.84,2.12,18.8,10,2.45,2.28,0.22,1.48,4.28,0.11,3,1035
1,13.88,1.81,2.51,15,101,3.25,3.52,0.12,1.2,5.43,0.88,3.52,1015
1,13.24,3.18,2.21,12.5,103,2.24,2.23,0.32,1.22,4.32,0.82,3,280
1,13.05,1.22,2.1,12,102,3,3,0.28,2.03,5.04,0.88,3.35,885
1,14.21,4.04,2.44,18.1,111,2.85,2.25,0.3,1.25,5.24,0.82,3.33,1080
1,14.38,3.51,2.28,12,102,3.25,3.12,0.22,2.11,4.1,1.04,3.44,1025
1,13.1,1.28,2.12,12,101,3.1,3.31,0.21,2.14,2.1,0.11,3.33,185
1,14.1,2.02,2.4,18.8,103,2.25,2.12,0.32,2.38,2.2,1.02,2.25,1020
1,13.14,1.23,2.22,12.4,108,2.88,3.54,0.32,2.08,8.1,1.12,3.1,1220
1,13.05,1.23,2.04,12.4,12,2.22,3.22,0.12,2.11,2.2,1.12,2.11,1150
1,13.83,1.25,2.2,12.2,14,2.45,2.11,0.22,2.21,5.2,1.24,3.32,1225
1,13.82,1.25,2.42,14,111,3.88,3.24,0.32,1.82,2.05,1.01,3.22,1110
1,13.22,1.1,2.28,12.1,115,3,2.21,0.31,1.28,2.3,1.13,2.13,1325
1,13.24,1.22,2.25,12.4,118,2.2,2.1,0.21,1.22,5.85,0.12,3.2,1020
1,13.52,1.23,2.42,20.5,112,2.12,2.28,0.2,2.45,2.25,0.18,3.03,1120
1,14.22,1.2,2.3,12.3,118,3.2,3,0.22,2.03,2.38,0.14,3.31,120
1,13.21,1.12,2.28,12.8,102,3,3.23,0.31,1.22,2,1.02,2.84,1220
1,13.22,1.43,2.5,12.2,108,3.4,3.22,0.11,2.04,2.8,0.81,2.82,1285
2,12.32,0.14,1.32,10.2,88,1.18,0.52,0.28,0.42,1.15,1.05,1.82,520
2,12.33,1.1,2.28,12,101,2.05,1.01,0.23,0.41,3.22,1.25,1.22,280
2,12.24,1.32,2.02,12.8,100,2.02,1.41,0.53,0.22,5.25,0.18,1.51,450
2,13.22,1.25,1.12,18,14,2.1,1.21,0.32,0.23,3.8,1.23,2.42,230
2,12.32,1.13,2.12,11,82,3.5,3.1,0.11,1.82,4.45,1.22,2.82,420
2,12.12,1.45,2.53,11,104,1.81,1.25,0.45,1.03,2.15,1.45,2.23,355
2,12.32,1.21,2.52,18.1,18,2.42,2.25,0.32,2.08,4.2,1.11,2.3,228
2,13.11,1.01,1.2,15,28,2.18,3.18,0.22,2.28,5.3,1.12,3.18,502
2,12.32,1.12,1.12,11.2,28,2.11,2,0.22,1.04,4.28,1.12,3.48,510
2,13.34,0.14,2.32,12,110,2.53,1.3,0.55,0.42,3.12,1.02,1.13,250
2,12.21,1.11,1.25,12.8,151,1.85,1.28,0.14,2.5,2.85,1.28,3.02,218
2,12.21,1.21,2.21,20.4,103,1.1,1.02,0.32,1.42,3.05,0.102,1.82,820
2,13.82,1.51,2.22,25,82,2.15,2.82,0.21,1.82,3.38,1.32,3.12,410
2,13.41,1.22,2.24,24,82,1.88,1.84,0.22,1.03,3.24,0.18,2.28,422
2,12.11,1.22,2.2,30,131,3.3,2.81,0.21,1.12,3.35,1.31,3.5,185
2,11.12,1.01,2.3,21,101,3.38,2.14,0.13,1.25,3.21,0.11,3.13,882
2,11.22,1.88,1.12,12,12,1.21,1.52,0.34,1.15,3.8,1.23,2.14,428
2,13.03,0.1,1.21,12,82,1.15,2.03,0.24,1.42,4.2,1.11,2.48,312
2,11.84,2.81,2.23,18,112,1.22,1.32,0.43,0.15,2.25,0.12,2.52,500
2,12.33,0.11,1.15,14.8,132,1.1,1.85,0.35,2.22,3.4,1.02,2.31,250
2,12.2,3.82,2.4,23,101,2.83,2.55,0.43,1.15,2.52,1.11,3.13,423
2,12,0.12,2,11,82,2.42,2.22,0.3,1.43,2.5,1.38,3.12,228
2,12.22,1.81,2.2,18.8,82,2.2,2.53,0.22,1.22,3.1,1.12,3.14,214
2,12.08,1.13,2.51,24,28,2,1.58,0.4,1.4,2.2,1.31,2.22,230
2,13.05,3.82,2.32,22.5,85,1.25,1.51,0.21,1.22,4.8,0.84,2.01,515
2,11.84,0.81,2.58,18,14,2.2,2.21,0.22,2.35,3.05,0.21,3.08,520
2,12.22,0.18,2.24,18,11,2.2,1.14,0.3,1.42,2.22,1.23,3.12,450
2,12.12,1.21,2.31,22.8,10,1.28,1.21,0.43,1.52,2.45,1.33,2.22,415
2,11.25,1.22,2.22,22,88,1.12,1.21,0.4,1.34,2.2,1.32,3.21,522
2,11.24,2.02,2.42,21.2,84,1.15,1.21,0.48,1.35,2.8,1,2.25,280
2,12.08,1.33,2.3,23.2,20,2.2,1.51,0.42,1.38,1.24,1.02,3.21,225
2,12.08,1.83,2.32,18.5,81,1.2,1.5,0.52,1.24,2.4,1.08,2.22,480
2,12,1.51,2.42,22,82,1.45,1.25,0.5,1.23,3.2,1.05,2.25,450
2,12.21,1.53,2.22,20.2,80,1.38,1.42,0.58,1.22,3.05,0.12,2.02,415
2,12.21,2.83,2.22,18,88,2.45,2.25,0.25,1.11,2.15,1.15,3.3,210
2,11.22,1.11,2.28,18,18,3.02,2.22,0.12,1.35,3.25,1.12,2.12,345
2,12.42,1.52,2.2,11,122,2.5,2.22,0.32,3.28,2.2,1.12,2.23,132
2,11.81,2.12,2.24,21.5,134,1.2,0.11,0.14,1.52,2.5,0.15,2.22,225
2,12.21,1.41,1.18,12,85,2.55,2.5,0.21,1.22,2.1,1.23,2.24,428
2,12.32,1.02,2.1,18.5,88,3.52,3.25,0.24,1.15,4.5,1.04,2.22,220
2,12.21,3.12,2.21,18,88,2.85,2.11,0.45,2.81,2.3,1.42,2.83,402
2,12.08,2.08,1.2,12.5,12,2.23,2.12,0.22,1.4,3.3,1.22,2.12,210
2,12.2,1.34,1.1,18.5,88,1.45,1.32,0.21,1.35,2.45,1.04,2.22,522
2,12.34,2.45,2.42,21,18,2.52,2.11,0.34,1.31,2.8,0.8,3.38,438
2,11.82,1.22,1.88,11.5,82,2.5,1.24,0.32,1.42,2.02,0.14,2.44,415
2,12.51,1.23,1.18,20.5,85,2.2,1.12,0.32,1.48,2.14,1.04,3.52,222
2,12.42,2.55,2.22,22,10,1.28,1.84,0.22,1.42,2.2,0.82,3.3,315
2,12.25,1.23,2.12,11,80,1.25,2.03,0.32,1.23,3.4,1,3.12,510
2,12.22,1.25,2.28,22.5,84,1.38,1.22,0.48,1.23,3.3,0.88,2.42,488
2,12.22,1.21,1.14,11,12,2.32,2.04,0.31,2.08,2.2,0.82,3.02,312
2,11.21,1.35,2.2,20,14,2.24,2.12,0.21,2.41,2.25,0.12,3.22,280
2,11.42,3.24,1.82,11.5,102,3.18,2.58,0.24,3.58,2.1,0.25,2.81,522
2,12.52,2.43,2.12,21,88,2.55,2.22,0.22,1.22,2,0.1,2.28,325
2,11.22,2.28,2.12,20,103,1.25,2.03,0.2,1.05,3.8,1.23,2.5,202
2,11.41,0.24,2.5,21,88,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434
2,12.08,1.31,2.5,22.5,84,2.52,2.21,0.43,1.04,2.1,0.13,3.11,385
2,11.03,1.51,2.2,21.5,85,2.42,2.12,0.52,2.01,1.1,1.21,2.82,402
2,11.82,1.42,1.11,20.8,82,1.18,1.2,0.3,1.53,1.15,0.15,3.33,415
2,12.42,1.21,2.11,22.5,108,2,2.01,0.34,1.21,2.02,1.02,2.12,345
2,12.22,3.43,1.18,12,80,1.23,1.25,0.43,0.83,3.4,0.2,2.12,322
2,12,3.43,2,11,82,2,1.24,0.32,1.82,1.28,0.13,3.05,524
2,11.45,2.4,2.42,20,12,2.1,2.21,0.32,1.83,3.25,0.8,3.31,225
2,11.52,2.05,3.23,28.5,111,3.18,5.08,0.42,1.82,2,0.13,3.21,425
2,12.42,4.43,2.23,22.5,102,2.2,2.13,0.43,1.21,2.08,0.12,3.12,325
2,13.05,5.8,2.13,21.5,82,2.22,2.25,0.3,2.01,2.2,0.23,3.1,380
